#
258	+	302866	305427	2562	1
259	+	305453	305809	357	1
260	-	305825	306349	525	1
261	-	306374	307858	1485	1
262	-	307877	309547	1671	1
263	+	309699	310073	375	1
264	-	310294	310749	456	1
265	-	310774	311517	744	1
266	-	311514	312659	1146	1
267	-	312759	314168	1410	1
268	-	314309	314854	546	1
269	-	314864	315766	903	1
270	-	315783	316415	633	1
271	-	316511	317503	993	1
272	-	317525	321154	3630	1
273	+	321331	322722	1392	1
274	-	322764	323273	510	1
275	-	323338	324531	1194	1
276	+	324567	326249	1683	1
277	-	326266	328461	2196	1
278	-	328575	329708	1134	1
279	-	329705	330325	621	1
280	+	330422	331003	582	1
281	-	330933	331658	726	1
282	+	331748	332668	921	1
283	-	332708	333136	429	1
284	-	333437	336310	2874	1
285	-	336560	339073	2514	1
286	+	339364	340974	1611	1
287	+	340998	341906	909	1
288	+	342130	344025	1896	1
289	+	344022	345638	1617	1
290	+	345635	349627	3993	1
291	+	349624	349932	309	1
292	+	349935	351476	1542	1
293	+	351525	351818	294	1
294	+	351848	352138	291	1
295	+	352149	353036	888	1
296	+	353083	354501	1419	1
297	+	354498	355883	1386	1
298	+	355880	356875	996	1
299	-	356862	358064	1203	1
300	+	358171	358956	786	1
301	-	358945	359748	804	1
302	-	359758	361155	1398	1
303	+	361334	363109	1776	1
304	+	363252	363479	228	1
305	+	363476	363778	303	1
306	+	363826	364047	222	1
307	+	364044	364469	426	1
308	+	364605	365237	633	1
309	+	365234	366142	909	1
310	-	366150	372764	6615	1
311	-	372820	375711	2892	1
312	+	375914	376585	672	1
313	-	376573	377055	483	1
314	+	377113	377829	717	1
315	+	377931	378587	657	1
316	-	378657	379148	492	1
317	+	379172	380401	1230	1
318	+	380556	382418	1863	1
319	+	382490	382876	387	1
320	-	382879	383541	663	1
321	+	383602	384486	885	1
322	+	384535	385149	615	1
323	-	385173	385943	771	1
324	-	386305	387099	795	1
325	+	387148	387816	669	1
326	+	387888	388550	663	1
327	+	388582	389154	573	1
328	+	389260	390591	1332	1
329	-	390580	391251	672	1
330	+	391352	392032	681	1
331	+	392039	392263	225	1
332	+	392273	392728	456	1
333	-	392696	394045	1350	1
334	+	394111	394713	603	1
335	-	394694	395320	627	1
336	-	395347	396087	741	1
337	+	396201	397367	1167	1
338	+	397442	398227	786	1
339	+	398254	398628	375	1
340	+	398658	399524	867	1
341	-	399535	400050	516	1
342	+	400192	401703	1512	1
343	-	401873	403162	1290	1
344	-	403193	405841	2649	1
345	-	405950	408448	2499	1
346	+	408634	409173	540	1
347	+	409362	410801	1440	1
348	+	410838	412760	1923	1
349	+	412757	414238	1482	1
350	-	414381	414941	561	1
351	+	415050	415460	411	1
352	-	415502	416965	1464	1
353	+	417304	418290	987	1
354	+	418293	418946	654	1
355	+	418949	419608	660	1
356	+	419835	421712	1878	1
357	+	421709	422416	708	1
358	+	422452	423639	1188	1
359	+	423639	424019	381	1
360	-	424269	424694	426	1
361	-	424777	434679	9903	1
362	-	434830	435474	645	1
363	-	435471	436769	1299	1
364	+	436860	437507	648	1
365	+	437518	438297	780	1
366	-	438302	438739	438	1
367	+	438822	439649	828	1
368	+	439871	441253	1383	1
369	-	441265	442299	1035	1
370	+	442395	443078	684	1
