SequenceID: 1

 75	-	76237	77622	1386	1
 76	-	77619	78896	1278	1
 77	+	79486	80193	708	1
 78	+	80624	81673	1050	1
 79	+	81676	82668	993	1
 80	+	82748	83983	1236	1
 81	+	83996	85168	1173	1
 82	-	85183	85563	381	1
 83	-	85636	86466	831	1
 84	+	86528	87133	606	1
 85	-	87208	87801	594	1
 86	-	87798	88004	207	2
 87	+	88168	89025	858	1
 88	+	89022	89480	459	1
 89	+	89575	89919	345	1
 90	+	89924	90403	480	1
 91	+	90400	92322	1923	1
 92	+	92328	93278	951	1
 93	+	93289	93951	663	1
 94	+	93951	95417	1467	1
 95	+	95417	96892	1476	1
 96	+	96984	97601	618	1
 97	+	97758	98351	594	1
 98	+	98480	99250	771	1
 99	+	99684	100451	768	1
 100	+	100583	102868	2286	1
 101	-	102815	103525	711	1
 102	-	103710	104663	954	1
 103	+	104656	104808	153	1
 104	-	104805	105101	297	1
 105	+	105324	106715	1392	1
 106	+	106734	107603	870	1
 107	+	107600	108151	552	1
 108	+	108180	109778	1599	1
 109	+	109771	110019	249	1
 110	+	110001	117539	7539	1
 111	+	117777	119699	1923	1
 112	-	119915	122173	2259	1
 113	+	122317	123831	1515	1
 114	-	123980	124264	285	1
 115	+	124374	125570	1197	1
 116	-	125643	130541	4899	1
 117	-	130895	131128	234	1
 118	+	131382	132872	1491	1
 119	+	132915	133769	855	1
 120	+	133992	136007	2016	1
 121	+	136289	137245	957	1
 122	+	137319	137909	591	1
 123	-	138082	138375	294	1
 124	+	138513	139673	1161	1
 125	+	139956	140144	189	1
 126	-	140267	141022	756	1
 127	+	141200	142144	945	1
 128	-	142128	143876	1749	1
 129	+	143998	145626	1629	1
 130	-	145627	147771	2145	1
 131	-	147908	148342	435	1
 132	+	148677	148859	183	1
 133	+	148856	149224	369	1
 134	+	149491	150996	1506	1
 135	+	151148	152215	1068	1
 136	+	152324	154129	1806	1
 137	+	154232	155599	1368	1
 138	+	155667	156446	780	1
 139	-	156578	157600	1023	1
 140	+	157847	158302	456	1
 141	-	158315	159652	1338	1
 142	-	159700	160782	1083	1
 143	+	160869	161474	606	1
 144	+	161771	162673	903	1
 145	-	162644	163249	606	1
 146	+	163366	164691	1326	1
 147	-	164712	165260	549	1
 148	+	165323	165826	504	1
 149	+	165827	166849	1023	1
 150	+	166925	167290	366	1
 151	-	167271	167684	414	1
 152	+	167711	168637	927	1
 153	-	168704	170128	1425	1
 154	+	170485	171126	642	1
 155	+	171215	172168	954	1
 156	+	172211	173143	933	1
 157	+	173238	174758	1521	1
 158	+	174833	175693	861	1
 159	+	175700	176668	969	1
 160	-	176665	176976	312	1
 161	+	177421	177513	93	1
 162	-	177543	179225	1683	1
 163	-	179319	180791	1473	1
 164	-	180805	181029	225	1
 165	-	181155	181985	831	1
 166	-	181987	183210	1224	1
 167	+	183415	183561	147	1
 168	+	183622	184722	1101	1
 169	+	184723	185055	333	1
 170	+	185052	186479	1428	1
 171	-	186495	186620	126	1
 172	+	186785	187429	645	1
 173	-	187433	188839	1407	1
 174	-	188931	190439	1509	1
 175	+	190607	191956	1350	1
 176	-	191984	193102	1119	1
 177	+	193117	193572	456	1
 178	+	193671	194111	441	1
 179	-	194144	194815	672	1
 180	+	194993	196657	1665	1
 181	+	196861	197658	798	1
 182	+	197660	198529	870	1
 183	+	198534	199898	1365	1
 184	+	199895	200935	1041	1
 185	+	200932	202479	1548	1
 186	+	202476	204068	1593	1
 187	+	204068	205237	1170	1
 188	+	205231	206778	1548	1
 189	+	206748	207455	708	1
 190	+	207452	208420	969	1
 191	+	208417	208971	555	1
 192	+	208938	209672	735	1
 193	-	209703	210785	1083	1
 194	-	210892	212250	1359	1
 195	-	212277	213011	735	1
 196	-	213028	214026	999	1
 197	+	214088	214927	840	1
 198	+	214969	215718	750	1
 199	+	215757	216224	468	1
 200	+	216269	218344	2076	1
 201	+	218711	219367	657	1
 202	+	219486	219917	432	1
 203	-	219996	221723	1728	1
 204	+	221871	222161	291	1
 205	+	222289	223530	1242	1
 206	+	223798	224664	867	1
 207	-	224724	226550	1827	1
 208	+	226878	230462	3585	1
 209	+	230749	231534	786	1
 210	+	231647	232231	585	1
 211	+	232231	234519	2289	1
 212	-	234516	236507	1992	1
 213	+	236550	237209	660	1
 214	+	237206	237895	690	1
 215	-	237892	238395	504	1
 216	-	238392	241289	2898	1
 217	+	241514	241924	411	1
 218	-	241976	243259	1284	1
 219	+	243384	244487	1104	1
 220	-	244484	247318	2835	1
 221	-	247384	248115	732	1
 222	-	248115	248708	594	1
 223	+	249038	250123	1086	1
 224	+	250120	251598	1479	1
 225	+	251782	253602	1821	1
 226	-	253669	254640	972	1
 227	-	254637	256070	1434	1
 228	+	256160	257677	1518	1
 229	-	257783	258856	1074	1
 230	+	258913	259926	1014	1
 231	-	259923	260831	909	1
 232	+	260924	262252	1329	1
 233	+	262254	262802	549	1
 234	+	262812	264023	1212	1
 235	+	264067	265476	1410	1
 236	+	265507	266295	789	1
 237	-	266301	267764	1464	1
 238	-	267863	268627	765	1
 239	+	268663	269817	1155	1
 240	-	269834	271564	1731	1
 241	-	271574	272854	1281	1
 242	+	273121	274278	1158	1
 243	-	274306	274719	414	1
 244	-	274710	274904	195	1
 245	-	274983	275963	981	1
 246	+	276058	277764	1707	1
 247	+	277899	278588	690	1
 248	+	278585	279529	945	1
 249	-	279605	280978	1374	1
